gap> ScanRange(1, 120);

============================================================
  SCANNING GROUPS: order 1 to 120
  (Reproducing Velasquez-Berroteran 2022, aiming past 60)
============================================================
  Order    ID                 Group  Equal Covering?
     62     2                   C62  cyclic — skip
     63     1               C7 : C9  no
     63     2                   C63  cyclic — skip
     63     3        C3 x (C7 : C3)  YES
     63     4              C21 x C3  YES
     64     1                   C64  cyclic — skip
     64     2               C8 x C8  YES
     64     3               C8 : C8  YES
     64     4   (C2 x C2 x C2) : C8  YES
     64     5        (C4 x C2) : C8  YES
     64     6               D8 : C8  YES
     64     7               Q8 : C8  YES
     64     8        (C4 : C4) : C4  YES
     64     9        (C2 x Q8) : C4  YES
     64    10        (C8 : C4) : C2  YES
     64    11  (C2 x C2) . ((C4 x C2) : C2) = (C4 x C2) . (C4 x C2)  YES
     64    12        (C4 : C8) : C2  YES
     64    13  (C2 x C2) . ((C4 x C2) : C2) = (C4 x C2) . (C4 x C2)  YES
     64    14  (C2 x C2) . ((C4 x C2) : C2) = (C4 x C2) . (C4 x C2)  YES
     64    15               C8 : C8  YES
     64    16               C8 : C8  YES
     64    17        (C4 x C2) : C8  YES
     64    18        (C8 x C2) : C4  YES
     64    19        C4 . (C4 x C4)  YES
     64    20        (C8 : C2) : C4  YES
     64    21        (C4 : C4) : C4  YES
     64    22  (C4 x C2) . D8 = C4 . (C4 x C4)  YES
     64    23  ((C4 x C2) : C2) : C4  YES
     64    24        (C8 : C2) : C4  YES
     64    25        (C8 : C2) : C4  YES
     64    26              C16 x C4  YES
     64    27              C16 : C4  YES
     64    28              C16 : C4  YES
     64    29       (C2 x C2) : C16  YES
     64    30       (C16 : C2) : C2  YES
     64    31       (C16 : C2) : C2  YES
     64    32  ((C4 x C2) : C2) : C4  YES
     64    33  ((C4 x C2) : C2) : C4  YES
     64    34        (C4 x C4) : C4  YES
     64    35        (C4 x C4) : C4  YES
     64    36  (C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2)) : C2  YES
     64    37  C2 . ((C2 x C2 x C2) : C4) = (C4 x C2) . (C4 x C2)  YES
     64    38              D16 : C4  YES
     64    39              Q16 : C4  YES
     64    40       (C16 x C2) : C2  YES
     64    41              Q16 : C4  YES
     64    42       (C16 : C2) : C2  YES
     64    43  C2 . ((C8 x C2) : C2) = C8 . (C4 x C2)  YES
     64    44              C4 : C16  YES
     64    45  C8 . D8 = C4 . (C8 x C2)  YES
     64    46              C16 : C4  YES
     64    47              C16 : C4  YES
     64    48              C16 : C4  YES
     64    49  C4 . D16 = C8 . (C4 x C2)  YES
     64    50              C32 x C2  YES
     64    51              C32 : C2  YES
     64    52                   D64  YES
     64    53                  QD64  YES
     64    54                   Q64  YES
     64    55          C4 x C4 x C4  YES
     64    56  C2 x ((C4 x C2) : C4)  YES
     64    57        (C4 x C4) : C4  YES
